Match,Time,Mean Evaluation,Max evaluation,Least evaluation,Moves
1,16.7489,311.6451613,949,60,62
2,15.6109,321.96,1073,6,50
3,2.431,297.2,580,43,10
4,9.6978,293.7368421,1030,80,38
5,5.9009,245.7333333,648,63,30
6,18.9472,247.1702128,748,88,94
7,7.7184,441.2,683,219,20
8,12.7115,279.1111111,830,71,54
9,9.941,180.4848485,925,65,66
10,19.5919,191.5762712,918,49,118
11,10.9764,231.8571429,868,56,55
12,14.9327,268.3225806,817,66,61
13,12.6831,303.72,914,64,49
14,7.4741,209.2272727,787,47,43
15,12.3804,261.8928571,742,75,55
16,5.2904,322.3636364,921,36,21
17,17.655,540.2941176,1237,97,33
18,14.7807,415.9047619,973,82,41
19,18.0627,469.5217391,756,107,45
20,14.3923,275.03125,837,29,63
